epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1467,2.37377,3.87589,2.1876,0.00229,0.38429,0.01345,0.00294,2.64216,4.70677,3.0185,4.287e-05,4.287e-05,4.287e-05
2,115.675,2.45511,4.01783,2.41451,0.00261,0.4058,0.03269,0.01002,2.49446,4.60411,2.86477,9.80494e-05,9.80494e-05,9.80494e-05
3,163.315,2.38135,3.9433,2.28958,0.00364,0.53857,0.10365,0.03376,2.2406,4.4289,2.5488,0.000150965,0.000150965,0.000150965
4,206.017,2.20203,3.57886,2.13588,0.00446,0.62833,0.15558,0.05049,2.06186,4.18458,2.24571,0.000201618,0.000201618,0.000201618
5,253.471,2.30256,3.58174,2.16223,0.00483,0.63908,0.18789,0.06547,2.08793,4.11974,2.19771,0.000250006,0.000250006,0.000250006
6,299.684,2.1373,3.30194,2.04453,0.0049,0.63908,0.16798,0.05063,2.24841,4.09488,2.2521,0.000296132,0.000296132,0.000296132
7,336.104,2.27667,3.50494,2.03336,0.0045,0.58906,0.12099,0.03437,2.52493,4.2385,2.41576,0.000339993,0.000339993,0.000339993
8,371.311,2.17739,3.3548,2.05844,0.00492,0.62132,0.13819,0.04577,2.48101,4.21116,2.42662,0.000381592,0.000381592,0.000381592
9,412.091,1.91373,3.076,1.82276,0.0054,0.70033,0.19973,0.06733,2.26306,4.00071,2.23643,0.000420926,0.000420926,0.000420926
10,456.382,1.97983,3.0696,1.83784,0.00539,0.73633,0.18866,0.06053,2.1206,3.81065,2.04812,0.000457997,0.000457997,0.000457997
11,503.283,1.8356,3.18616,1.78326,0.00548,0.78308,0.19922,0.05557,2.0976,3.71797,1.96185,0.000492805,0.000492805,0.000492805
12,557.602,1.77765,3.00568,1.76982,0.00493,0.75082,0.24376,0.09893,1.73068,3.6415,1.90452,0.000525349,0.000525349,0.000525349
13,615.5,1.99702,2.98308,1.88732,0.78609,0.03226,0.10384,0.02923,1.85457,3.9767,2.34174,0.000555629,0.000555629,0.000555629
