epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6975,2.04501,3.58368,3.10132,0.64847,0.08497,0.05984,0.02683,2.10367,4.00352,3.17527,0.07672,0.00072,0.00072
2,177.001,1.65388,3.03585,2.5242,0.37901,0.27129,0.1141,0.05187,1.5696,4.63461,2.62694,0.0524671,0.00146713,0.00146713
3,274.207,1.68168,2.94001,2.5851,0.56051,0.27248,0.26175,0.14573,1.64235,5.56524,2.60589,0.0282027,0.0022027,0.0022027
4,357.811,1.5415,2.53451,2.48953,0.3304,0.41663,0.33769,0.19311,1.61117,3.99,2.72834,0.00391809,0.00291809,0.00291809
5,409.135,1.93578,3.5241,7720.82,0,0,0,0,4.03833,512975,1.18604e+13,0.00290722,0.00290722,0.00290722
6,522.287,2.10992,3.88381,5639.91,0.00506,0.10536,0.00305,0.0007,2.34734,376.112,8733.35,0.00285591,0.00285591,0.00285591
7,580.841,2.25683,4.07963,6974,0.00655,0.24598,0.00506,0.0015,2.3899,143.313,10013.3,0.00279404,0.00279404,0.00279404
8,642.473,2.28373,4.36177,6215.63,0.00871,0.21607,0.0054,0.00166,2.46142,92.802,7315.45,0.00272212,0.00272212,0.00272212
9,702.028,2.34554,4.48918,3843.12,0.00871,0.21607,0.0054,0.00166,2.46142,92.802,7315.45,0.00264072,0.00264072,0.00264072
10,763.223,2.54998,4.43238,7404.69,0.01112,0.18587,0.00447,0.00126,2.52573,34.4243,6586.83,0.0025505,0.0025505,0.0025505
11,819.614,2.61726,4.40249,5756.24,0.00506,0.04688,0.00573,0.00139,2.52471,19.1712,6271.66,0.00245218,0.00245218,0.00245218
12,881.214,2.37672,4.5657,3288.13,0.25495,0.03125,0.00376,0.00123,2.57015,15.2475,5651.33,0.00234656,0.00234656,0.00234656
13,937.519,2.68152,4.52797,5094.19,0.25585,0.01562,0.00269,0.00083,2.56869,10.0898,4382.59,0.00223448,0.00223448,0.00223448
14,996.328,2.6487,4.64926,5820.19,0.25585,0.01562,0.00269,0.00083,2.56869,10.0898,4382.59,0.00211685,0.00211685,0.00211685
15,1048.96,2.79469,4.48188,5667.07,0.25185,0.04688,0.00207,0.00052,2.52663,7.15455,4341.61,0.00199462,0.00199462,0.00199462
16,1097.56,2.65113,4.56796,3479.2,0.00174,0.30781,0.0021,0.00054,2.4735,6.28038,4376.5,0.00186877,0.00186877,0.00186877
17,1148.65,2.68727,4.39077,3444.5,0.50283,0.05402,0.00249,0.00064,2.49815,6.45738,3931.81,0.00174031,0.00174031,0.00174031
18,1210.52,2.68437,4.56512,4378.3,0.50283,0.05402,0.00249,0.00064,2.49815,6.45738,3931.81,0.00161028,0.00161028,0.00161028
19,1259.77,2.6545,4.36612,5896.96,0.50295,0.05402,0.00251,0.00065,2.51103,6.30399,3963.12,0.00147972,0.00147972,0.00147972
20,1305.24,2.59791,4.30382,4416.03,0.50602,0.03125,0.00418,0.00093,2.51596,5.73393,3902.57,0.00134969,0.00134969,0.00134969
21,1347.75,2.56357,4.39386,3934.6,0.50347,0.03125,0.00345,0.00083,2.55219,5.6669,3786.4,0.00122123,0.00122123,0.00122123
22,1391.02,2.70005,4.39246,4827.03,0.50283,0.09375,0.00309,0.00083,2.54223,5.5775,3875.42,0.00109538,0.00109538,0.00109538
23,1435.11,2.51171,4.51127,4391.78,0.50283,0.09375,0.00309,0.00083,2.54223,5.5775,3875.42,0.000973149,0.000973149,0.000973149
24,1479.82,2.67406,4.24567,5563.17,0.52418,0.01562,0.00788,0.00257,2.5248,5.63933,4067.37,0.000855521,0.000855521,0.000855521
25,1523.9,2.55998,4.41009,3645.95,0.58158,0.01562,0.01991,0.00275,2.54145,5.45121,3974.29,0.000743445,0.000743445,0.000743445
26,1571.56,2.50784,4.33847,3868.22,0.50604,0.0625,0.00398,0.00099,2.52862,5.48314,3967.15,0.000637822,0.000637822,0.000637822
27,1616.06,2.49037,4.3535,4290.07,0.50604,0.0625,0.00398,0.00099,2.52862,5.48314,3967.15,0.000539504,0.000539504,0.000539504
28,1658.49,2.34992,4.48657,4370.4,0.50532,0.03125,0.00368,0.0009,2.51492,5.28948,3865.17,0.000449281,0.000449281,0.000449281
29,1701.36,2.45465,4.34503,3332.4,0.5051,0.04688,0.00442,0.00085,2.4993,5.30093,3735.29,0.00036788,0.00036788,0.00036788
30,1745.76,2.36,4.33706,3195.06,0.50572,0.03125,0.00436,0.00096,2.53703,5.13041,3822.22,0.000295957,0.000295957,0.000295957
31,1794.56,2.38929,4.50968,3742.68,0.50497,0.03125,0.00429,0.00091,2.49178,5.04696,3862.47,0.00023409,0.00023409,0.00023409
32,1839.09,2.44298,4.36039,3874.57,0.50497,0.03125,0.00429,0.00091,2.49178,5.04696,3862.47,0.000182778,0.000182778,0.000182778
33,1881.34,2.58537,4.33917,3960.43,0.50464,0.04688,0.00481,0.00094,2.49588,4.88923,3728.14,0.000142434,0.000142434,0.000142434
34,1924.91,2.44083,4.38108,3196.61,0.5062,0.03125,0.00419,0.00094,2.50153,4.81891,3842.21,0.000113382,0.000113382,0.000113382
35,1967.39,2.4686,4.37184,3547.61,0.50621,0.01562,0.00459,0.00097,2.49751,4.88767,3824.48,9.58574e-05,9.58574e-05,9.58574e-05
